,经度,纬度,finial_score_四星半
0,113.6370923,34.73420362,0.5488677307169894
1,113.6370923,34.74158568,0.519244150565535
2,113.6281092,34.75634782,0.5399469794253949
3,113.6370923,34.7268209,0.4587606145802632
4,113.6281092,34.74896708,0.42655008428631447
5,113.6370923,34.75634782,0.4142713606618369
6,113.6281092,34.73420362,0.4146744177861357
7,113.6550586,34.75634782,0.40694157119790575
8,113.6370923,34.74896708,0.39801549680075193
9,113.6549676,34.76243755,0.366643054011612
10,113.6281092,34.74158568,0.35317248486475794
11,113.6281092,34.7268209,0.34372974749483
12,113.6460755,34.73420362,0.24022085359223616
13,113.6550586,34.69728342,0.33204248688145704
14,113.6460755,34.74896708,0.3274237714171707
15,113.6549908,34.73415482,0.2907898574647041
16,113.6550297,34.74899019,0.3209602260676202
17,113.6143467,34.72391892,0.3089159504928493
18,113.619126,34.70466878,0.3074666275621085
19,113.6461209,34.75625865,0.29220965204730953
